Percentage served,Time in ms
0,809.118
1,8975.646
2,8977.766
3,8982.311
4,8982.650
5,8986.604
6,8990.019
7,8993.947
8,9141.393
9,17827.780
10,17837.663
11,17843.196
12,17853.002
13,17857.029
14,17863.066
15,17867.212
16,17989.462
17,26403.689
18,26410.438
19,26413.553
20,26418.305
21,26421.600
22,26435.839
23,26443.889
24,26549.714
25,35045.941
26,35144.418
27,35160.468
28,35165.352
29,35171.387
30,35181.845
31,35194.776
32,35207.452
33,43678.762
34,43681.669
35,43685.333
36,43690.251
37,43738.898
38,43775.328
39,43789.433
40,43814.230
41,52493.225
42,52495.236
43,52499.799
44,52502.569
45,52542.162
46,52559.084
47,52575.438
48,52615.260
49,61218.089
50,61259.320
51,61267.251
52,61275.666
53,61344.042
54,61364.409
55,61374.226
56,61444.279
57,69964.117
58,69976.466
59,69982.061
60,69984.779
61,70110.924
62,70138.551
63,70159.319
64,70187.792
65,78706.196
66,78819.790
67,78856.618
68,78862.776
69,78872.448
70,78878.664
71,78902.375
72,78936.621
73,87350.196
74,87359.071
75,87361.039
76,87362.416
77,87365.870
78,87414.728
79,87427.900
80,87609.635
81,96045.323
82,96047.327
83,96048.040
84,96049.589
85,96051.335
86,96054.052
87,96058.118
88,96118.843
89,104748.441
90,104750.446
91,104757.062
92,104786.619
93,104816.435
94,104819.454
95,104826.487
96,104838.342
97,108755.310
98,108757.315
99,108759.320
100,108802.947
