Percentage served,Time in ms
0,1088.837
1,28861.517
2,28891.067
3,28915.396
4,28941.939
5,28967.140
6,29006.230
7,29022.831
8,29097.126
9,48716.666
10,52499.622
11,52504.398
12,52510.434
13,52512.573
14,52519.580
15,52745.283
16,52749.317
17,52756.525
18,52761.386
19,52767.427
20,53406.746
21,53783.311
22,53784.361
23,53789.677
24,53791.960
25,53961.641
26,54082.834
27,54092.470
28,54106.614
29,54150.667
30,54174.100
31,54780.397
32,55455.106
33,55590.454
34,55639.879
35,55680.165
36,55683.853
37,55688.145
38,55779.870
39,56910.845
40,57481.337
41,57699.668
42,58531.323
43,59299.160
44,59451.813
45,59530.681
46,61024.030
47,61306.756
48,62588.173
49,64298.481
50,67502.001
51,68436.723
52,70071.325
53,72796.025
54,72840.008
55,72911.984
56,76165.910
57,79970.468
58,80013.867
59,80018.656
60,80025.020
61,80036.767
62,80045.950
63,80100.150
64,81646.569
65,83359.919
66,89188.285
67,89204.709
68,89232.161
69,89270.440
70,89282.612
71,90579.772
72,90605.675
73,90618.125
74,90623.172
75,90640.244
76,90650.907
77,90654.927
78,91187.647
79,93043.919
80,95722.436
81,97963.977
82,100428.409
83,100454.677
84,100467.489
85,100476.490
86,100484.142
87,100499.832
88,100505.607
89,102457.746
90,109228.271
91,109243.078
92,109255.028
93,109264.795
94,109285.316
95,109301.140
96,109310.083
97,111281.184
98,115313.958
99,118035.461
100,118083.123
