Percentage served,Time in ms
0,388.190
1,4614.391
2,5315.984
3,6768.619
4,6778.938
5,6784.660
6,12443.522
7,13083.113
8,13087.843
9,13093.877
10,13097.301
11,13111.243
12,13229.930
13,13866.396
14,13873.109
15,13877.764
16,13878.738
17,13882.322
18,13885.695
19,14014.517
20,14491.472
21,14494.319
22,14503.938
23,14509.504
24,14513.394
25,14516.856
26,14525.059
27,14907.378
28,14918.587
29,15002.592
30,15048.147
31,15055.227
32,15062.599
33,15064.637
34,15069.548
35,15071.940
36,15075.053
37,15084.207
38,15084.207
39,15107.217
40,15300.677
41,15350.492
42,15410.436
43,15420.235
44,15427.617
45,15430.035
46,15432.330
47,15434.342
48,15436.734
49,15480.399
50,15494.335
51,15496.842
52,15496.842
53,15529.070
54,15540.242
55,15542.361
56,15546.126
57,15548.137
58,15550.358
59,15554.446
60,15558.898
61,15562.135
62,15614.211
63,15625.785
64,15629.022
65,15629.806
66,15634.411
67,15669.402
68,15672.819
69,15682.849
70,15690.809
71,15694.610
72,15698.641
73,15700.068
74,15703.097
75,15706.109
76,15707.980
77,15709.213
78,15713.560
79,15716.015
80,15718.025
81,15719.054
82,15731.279
83,16023.944
84,16127.009
85,16142.637
86,17219.709
87,17238.564
88,17244.270
89,17247.995
90,17253.944
91,17261.807
92,17273.908
93,17898.663
94,18525.415
95,21941.243
96,21947.019
97,21949.517
98,21957.085
99,26275.695
100,27236.214
