Percentage served,Time in ms
0,721.976
1,4152.500
2,12254.538
3,12258.711
4,12262.892
5,12266.819
6,12267.995
7,12274.146
8,12281.451
9,13882.447
10,24912.218
11,24925.827
12,24927.794
13,24932.761
14,24939.183
15,24944.182
16,24949.551
17,25043.892
18,29424.437
19,38448.057
20,38465.537
21,38483.615
22,38492.731
23,38493.733
24,38500.485
25,38510.567
26,40049.944
27,42093.827
28,50816.502
29,50827.480
30,50835.301
31,50843.797
32,50847.378
33,50853.929
34,50858.116
35,51677.586
36,63593.045
37,63616.342
38,63633.763
39,63663.437
40,63677.375
41,63696.927
42,63707.184
43,63719.517
44,63954.920
45,64088.824
46,65028.684
47,65848.160
48,66160.641
49,67126.782
50,67161.359
51,68992.051
52,69121.898
53,69125.919
54,69129.705
55,69132.894
56,69139.514
57,69142.211
58,72195.476
59,72564.615
60,72570.607
61,72573.586
62,72578.415
63,72589.074
64,72591.075
65,72596.602
66,72796.925
67,73138.869
68,73285.338
69,73860.930
70,73867.026
71,73871.447
72,73873.407
73,73879.155
74,73882.715
75,74276.986
76,74881.179
77,74888.409
78,74891.404
79,74892.987
80,74897.987
81,74904.410
82,75050.649
83,76097.941
84,76152.880
85,76169.479
86,76171.141
87,76174.518
88,76178.642
89,76187.143
90,76610.436
91,76626.900
92,76630.619
93,76637.416
94,76643.958
95,76654.522
96,77292.121
97,77303.441
98,77307.063
99,77313.116
100,77332.572
