Percentage served,Time in ms
0,1205.726
1,12193.214
2,12197.721
3,12199.502
4,12201.054
5,12203.466
6,12206.933
7,12209.304
8,12313.718
9,16531.345
10,25290.228
11,25299.731
12,25307.726
13,25315.231
14,25318.235
15,25324.882
16,25330.234
17,26185.538
18,29923.312
19,38064.026
20,38072.106
21,38079.229
22,38085.359
23,38089.361
24,38096.522
25,38105.101
26,41047.821
27,49413.115
28,49415.697
29,49419.906
30,49427.150
31,49483.524
32,49493.993
33,49533.533
34,52390.744
35,60290.627
36,60296.576
37,60324.918
38,60368.006
39,60390.286
40,60416.500
41,60429.083
42,62143.636
43,64445.971
44,73125.677
45,73136.609
46,73148.768
47,73158.701
48,73169.599
49,73189.853
50,73205.679
51,74341.256
52,86336.262
53,86346.641
54,86387.204
55,86396.638
56,86411.979
57,86429.679
58,86444.730
59,86451.058
60,88097.498
61,99064.456
62,99067.457
63,99071.855
64,99075.472
65,99092.924
66,99115.712
67,99234.492
68,99280.593
69,103794.563
70,112396.013
71,112402.384
72,112405.820
73,112415.107
74,112426.217
75,112429.816
76,112434.657
77,113903.716
78,116287.156
79,125144.667
80,125190.782
81,125201.320
82,125204.425
83,125208.591
84,125210.120
85,125219.094
86,126854.043
87,129019.493
88,137818.085
89,137821.946
90,137823.074
91,137826.452
92,137828.452
93,137838.450
94,137868.437
95,138814.992
96,140898.674
97,144990.058
98,144995.426
99,144998.845
100,145029.843
