Percentage served,Time in ms
0,548.034
1,4361.353
2,12516.692
3,12521.786
4,12524.745
5,12530.216
6,12532.903
7,12541.839
8,12563.624
9,14428.786
10,17177.015
11,24843.458
12,25536.381
13,25541.214
14,25550.204
15,25553.864
16,25557.638
17,25559.862
18,25561.850
19,26611.320
20,26625.507
21,26630.965
22,26635.816
23,26638.965
24,27609.323
25,27634.861
26,27731.598
27,28000.174
28,28004.811
29,28005.255
30,28005.875
31,28010.194
32,28035.601
33,28036.692
34,28041.448
35,28043.555
36,28051.413
37,28056.463
38,28060.053
39,28107.600
40,28111.338
41,28116.336
42,28217.785
43,28226.143
44,28228.170
45,28270.732
46,28279.678
47,28287.145
48,28298.975
49,28335.756
50,28339.820
51,28346.715
52,28352.539
53,28354.099
54,28356.384
55,28359.059
56,28360.917
57,28362.527
58,28366.682
59,28376.989
60,28439.730
61,28446.677
62,28453.690
63,28459.689
64,28463.112
65,28467.907
66,28474.644
67,28476.164
68,28479.019
69,28480.565
70,28482.109
71,28484.354
72,28486.354
73,28490.291
74,28492.053
75,28825.574
76,29097.098
77,29112.779
78,29116.602
79,29238.057
80,29243.407
81,29246.411
82,29253.680
83,29257.905
84,29259.177
85,29264.604
86,29267.730
87,29353.584
88,29465.391
89,29473.404
90,29480.391
91,29512.410
92,29518.936
93,29523.159
94,29528.162
95,29530.191
96,30098.786
97,30114.434
98,30742.970
99,32677.581
100,32686.405
