Percentage served,Time in ms
0,1217.126
1,15091.003
2,16200.190
3,33817.174
4,33825.038
5,33829.408
6,33835.797
7,33838.684
8,33869.222
9,33876.457
10,33877.454
11,38417.647
12,40262.983
13,40285.493
14,40302.255
15,40313.993
16,40326.265
17,40333.435
18,40340.852
19,40349.779
20,40351.145
21,40621.343
22,40623.475
23,40672.722
24,40674.715
25,40743.098
26,40754.000
27,40756.075
28,40778.815
29,40799.389
30,40802.918
31,40814.821
32,40821.081
33,40870.349
34,40938.076
35,40958.699
36,40973.934
37,40995.419
38,41004.592
39,41027.023
40,41040.413
41,41051.976
42,41060.052
43,41082.773
44,41091.550
45,41107.195
46,41116.967
47,41132.132
48,41135.067
49,41141.917
50,41176.208
51,41183.249
52,41190.812
53,41195.629
54,41197.679
55,41209.378
56,41223.801
57,41248.082
58,41251.070
59,41254.493
60,41261.313
61,41264.685
62,41271.491
63,41277.223
64,41279.221
65,41292.029
66,41308.725
67,41316.375
68,41333.093
69,41359.616
70,41368.618
71,41382.614
72,41396.218
73,41404.778
74,41409.330
75,41435.777
76,41442.594
77,41588.883
78,41620.921
79,41630.959
80,41640.908
81,41660.437
82,41670.269
83,41676.920
84,41702.790
85,41709.236
86,41941.053
87,41981.328
88,41989.804
89,41998.542
90,42009.588
91,42022.397
92,42026.681
93,42030.123
94,42031.123
95,42034.349
96,42043.980
97,43689.424
98,66196.169
99,66617.264
100,67614.012
