Percentage served,Time in ms
0,477.510
1,15632.038
2,15640.944
3,15645.867
4,15652.240
5,15659.624
6,15662.317
7,15669.578
8,15679.586
9,30159.644
10,30187.408
11,30252.589
12,30269.870
13,30401.112
14,30450.398
15,30491.871
16,30531.002
17,30541.409
18,30579.469
19,30585.433
20,30593.796
21,30644.054
22,30657.815
23,30670.231
24,30714.611
25,30720.501
26,30733.006
27,30738.877
28,30777.770
29,30786.837
30,30791.583
31,30797.077
32,30800.813
33,30804.898
34,30808.357
35,30811.530
36,30818.416
37,30829.788
38,30839.626
39,30873.330
40,30891.472
41,30909.706
42,30962.737
43,31147.042
44,31179.547
45,31194.842
46,31220.662
47,31240.439
48,31248.418
49,31255.935
50,31301.378
51,31606.107
52,32281.932
53,32311.433
54,32341.832
55,32346.847
56,32356.810
57,32366.531
58,32393.514
59,32410.269
60,32414.291
61,32842.639
62,34822.118
63,34840.086
64,39824.813
65,44163.095
66,45491.904
67,45559.324
68,45591.276
69,45655.191
70,45712.143
71,45753.474
72,45782.312
73,45844.024
74,45887.603
75,45925.239
76,45948.991
77,45993.160
78,46009.899
79,46039.329
80,46124.172
81,46162.454
82,46197.234
83,46210.812
84,46213.266
85,46220.762
86,46230.704
87,46253.619
88,46278.413
89,46294.197
90,46312.639
91,46713.997
92,46778.870
93,46798.015
94,47879.932
95,47901.432
96,47912.381
97,47932.413
98,47949.982
99,47982.767
100,47994.703
