Percentage served,Time in ms
0,1208.883
1,14929.172
2,14993.801
3,15000.167
4,15003.069
5,15005.950
6,15006.322
7,15014.025
8,15025.433
9,32721.960
10,32744.819
11,32752.139
12,32756.899
13,32761.692
14,32784.394
15,32792.247
16,32801.688
17,48183.149
18,48200.438
19,48206.356
20,48237.336
21,48266.751
22,48278.033
23,48291.408
24,48302.906
25,63796.117
26,63833.364
27,63842.496
28,63855.245
29,63894.578
30,63919.644
31,63939.453
32,63949.942
33,79685.815
34,79711.254
35,79725.502
36,79734.725
37,79741.359
38,79756.427
39,79765.199
40,79772.560
41,93987.998
42,95394.713
43,95401.384
44,95407.661
45,95412.175
46,95461.479
47,95468.209
48,95472.439
49,95479.136
50,111499.862
51,111556.894
52,111560.909
53,111565.958
54,111581.121
55,111618.768
56,111629.059
57,111637.342
58,128342.236
59,128372.844
60,128414.170
61,128422.831
62,128426.284
63,128433.000
64,128438.409
65,128443.761
66,143946.066
67,143956.602
68,143965.146
69,143971.550
70,143978.595
71,143988.425
72,143992.551
73,143998.965
74,159714.174
75,159729.000
76,159791.869
77,159877.106
78,159882.207
79,159899.968
80,159941.569
81,159956.162
82,172840.903
83,175186.947
84,175195.407
85,175201.312
86,175207.206
87,175210.635
88,175214.384
89,175218.953
90,175226.732
91,190267.525
92,190273.986
93,190289.558
94,190299.169
95,190311.439
96,190335.815
97,190353.200
98,190469.840
99,192662.202
100,192672.589
