Percentage served,Time in ms
0,417.791
1,11248.824
2,11257.826
3,11264.354
4,11346.530
5,11521.418
6,11538.538
7,11561.617
8,11593.443
9,11661.209
10,11712.766
11,11736.767
12,11783.512
13,11793.919
14,11814.947
15,11857.678
16,11860.682
17,11865.246
18,11868.677
19,11872.683
20,11876.651
21,12591.502
22,12723.562
23,12739.318
24,12750.311
25,12782.583
26,12790.372
27,12822.653
28,12840.538
29,13155.253
30,13170.455
31,13192.352
32,13195.062
33,13205.659
34,13240.510
35,13249.594
36,13255.301
37,13262.775
38,13270.941
39,13663.126
40,13995.582
41,14722.980
42,14738.831
43,14744.586
44,14747.112
45,14752.796
46,14760.051
47,14795.317
48,14819.276
49,15129.277
50,15135.763
51,15138.890
52,15153.433
53,15401.818
54,15443.919
55,15449.182
56,15459.311
57,15496.058
58,15504.450
59,15544.223
60,15583.924
61,15592.473
62,15594.736
63,15596.150
64,15613.230
65,15753.335
66,15810.878
67,15852.339
68,15857.153
69,15861.879
70,15882.971
71,15932.471
72,17316.488
73,17633.039
74,17637.907
75,17642.333
76,17695.095
77,17703.985
78,17709.695
79,17734.878
80,20796.969
81,23113.599
82,23586.013
83,23929.548
84,24296.039
85,24314.287
86,24451.078
87,24522.142
88,25881.012
89,25959.073
90,30097.828
91,30181.093
92,30306.492
93,30316.124
94,30334.288
95,30731.962
96,30869.695
97,31226.767
98,31298.439
99,33432.760
100,33484.076
