Percentage served,Time in ms
0,377.593
1,3149.639
2,3821.788
3,4277.618
4,4606.590
5,5103.012
6,5347.980
7,5772.798
8,6177.575
9,6690.716
10,7142.737
11,7822.927
12,8080.419
13,8300.018
14,8401.868
15,8949.606
16,9075.803
17,9182.167
18,9278.344
19,9385.412
20,9425.126
21,9496.193
22,9546.523
23,9609.159
24,9635.866
25,9676.020
26,9723.568
27,9801.652
28,9879.397
29,9934.196
30,9963.968
31,10005.968
32,10046.372
33,10094.714
34,10123.004
35,10171.343
36,10241.663
37,10266.606
38,10301.880
39,10381.361
40,10442.501
41,10498.267
42,10623.098
43,10820.559
44,10903.614
45,10969.139
46,11003.043
47,11229.103
48,11269.424
49,11356.438
50,11490.909
51,11575.922
52,11614.117
53,11678.879
54,11877.949
55,11938.718
56,12027.777
57,12130.587
58,12220.029
59,12300.496
60,12483.986
61,12562.378
62,12617.238
63,12656.484
64,12735.538
65,12801.658
66,12897.569
67,12963.778
68,13019.251
69,13078.599
70,13136.574
71,13201.500
72,13282.510
73,13373.225
74,13525.421
75,13579.840
76,13665.327
77,13740.609
78,13822.095
79,13895.677
80,13967.708
81,14097.832
82,14192.346
83,14431.083
84,14518.624
85,14683.398
86,14736.528
87,14782.539
88,14853.527
89,14958.351
90,15021.813
91,15099.707
92,15194.563
93,15300.376
94,15356.513
95,15496.544
96,15822.868
97,15969.617
98,16237.217
99,17148.038
100,18103.604
