Percentage served,Time in ms
0,616.566
1,2901.577
2,3501.251
3,4060.762
4,4317.330
5,4841.941
6,5543.443
7,5784.904
8,5954.457
9,6322.677
10,6847.901
11,7469.375
12,7940.966
13,8615.282
14,9474.493
15,9820.369
16,10387.924
17,10923.669
18,11331.775
19,11812.714
20,12203.449
21,12428.496
22,13034.511
23,13847.555
24,14479.571
25,15223.581
26,15983.905
27,17267.961
28,17584.245
29,17869.609
30,18868.808
31,19406.081
32,19756.914
33,20052.297
34,21017.620
35,21954.633
36,22532.534
37,23314.936
38,23949.705
39,24529.771
40,25101.678
41,25964.048
42,26350.230
43,26717.388
44,26972.113
45,27221.324
46,27833.000
47,28052.186
48,28342.872
49,28509.747
50,28587.661
51,28679.159
52,28875.119
53,28980.209
54,29074.150
55,29222.090
56,29449.877
57,29539.157
58,29697.011
59,29829.305
60,29909.672
61,29955.939
62,30043.619
63,30188.575
64,30257.432
65,30319.337
66,30423.174
67,30655.504
68,30995.510
69,31214.984
70,31505.113
71,31601.098
72,31854.320
73,31957.702
74,32063.843
75,32125.329
76,32240.908
77,32302.601
78,32375.166
79,32442.512
80,32616.695
81,32761.355
82,32801.785
83,32882.360
84,32964.577
85,33088.901
86,33158.495
87,33299.014
88,33425.619
89,33601.605
90,33813.393
91,33956.321
92,34190.469
93,34335.378
94,34530.642
95,34626.297
96,35241.816
97,35438.817
98,36034.049
99,36775.504
100,37813.131
