Percentage served,Time in ms
0,850.770
1,16652.778
2,16668.126
3,16680.578
4,16691.515
5,16699.475
6,16707.240
7,16732.397
8,16750.180
9,21648.850
10,33627.901
11,33642.130
12,33665.096
13,33732.279
14,33761.768
15,33788.992
16,33832.723
17,37600.307
18,49441.899
19,49463.589
20,49472.993
21,49512.387
22,49522.860
23,49526.782
24,49597.160
25,53419.757
26,65413.592
27,65434.278
28,65482.553
29,65532.493
30,65565.415
31,65584.823
32,65603.172
33,69332.918
34,81205.111
35,81222.900
36,81248.426
37,81302.572
38,81334.258
39,81348.368
40,81352.645
41,85194.099
42,95227.192
43,95259.564
44,95288.534
45,95311.752
46,95316.722
47,95334.544
48,95338.534
49,95350.448
50,95380.375
51,95403.683
52,95420.254
53,95430.853
54,95442.196
55,95472.120
56,95497.328
57,95507.481
58,95515.435
59,95525.311
60,95534.007
61,95558.698
62,95568.947
63,95599.786
64,95613.022
65,95629.556
66,95649.730
67,95693.107
68,96466.148
69,96489.445
70,96516.854
71,96536.752
72,96547.863
73,96572.002
74,96602.073
75,97093.927
76,97108.772
77,97120.321
78,97130.110
79,97145.181
80,97165.701
81,97207.180
82,97619.293
83,99139.860
84,99262.271
85,99400.868
86,99522.584
87,101099.344
88,101750.807
89,107198.208
90,107353.996
91,107519.679
92,107554.547
93,109291.149
94,111126.961
95,111254.243
96,111436.272
97,111475.829
98,111758.215
99,112598.994
100,113080.603
