Percentage served,Time in ms
0,610.639
1,8982.909
2,10958.303
3,10978.764
4,10985.840
5,13965.151
6,14092.309
7,14100.862
8,14105.916
9,14107.925
10,14119.396
11,14140.565
12,14149.044
13,14160.940
14,14194.170
15,16608.840
16,16626.265
17,16636.367
18,16646.788
19,16659.234
20,16672.340
21,16689.517
22,16708.725
23,16742.563
24,16778.623
25,16820.781
26,17000.269
27,17020.336
28,17032.981
29,17038.285
30,17050.199
31,17063.928
32,17228.992
33,17293.095
34,17599.726
35,17617.080
36,17633.887
37,17645.118
38,17654.413
39,17882.680
40,19624.197
41,19645.251
42,19683.263
43,19715.497
44,19735.855
45,19754.438
46,19770.452
47,19779.933
48,19788.313
49,19794.760
50,19827.037
51,19829.591
52,19833.907
53,19871.426
54,19897.332
55,19902.340
56,20002.579
57,20159.967
58,20177.189
59,20371.951
60,20384.015
61,20419.704
62,20793.584
63,21121.088
64,21136.243
65,21411.605
66,21438.186
67,21452.785
68,21483.033
69,21491.537
70,21508.453
71,21527.341
72,21593.754
73,21606.773
74,22704.306
75,22737.414
76,22748.678
77,22754.504
78,22772.162
79,22777.199
80,22784.799
81,23021.454
82,23076.507
83,23109.775
84,23125.827
85,23133.776
86,23147.402
87,23260.405
88,25651.293
89,25655.882
90,25678.119
91,25709.442
92,25866.712
93,25873.888
94,27561.150
95,27571.783
96,30573.748
97,30779.833
98,30910.527
99,33312.465
100,33666.564
