Percentage served,Time in ms
0,671.411
1,17531.776
2,17556.932
3,17568.218
4,17580.674
5,17592.505
6,17604.020
7,17619.878
8,17645.805
9,32331.096
10,32621.735
11,32719.762
12,32737.451
13,33365.293
14,33410.683
15,33502.425
16,33520.007
17,33557.245
18,33588.942
19,33602.941
20,33618.001
21,33634.951
22,33661.349
23,33685.538
24,33726.190
25,33751.326
26,33931.169
27,34395.052
28,34404.566
29,34415.660
30,34423.127
31,34434.768
32,34457.483
33,34469.507
34,34493.293
35,34920.982
36,36244.822
37,36260.824
38,36271.600
39,36280.162
40,36288.865
41,36565.680
42,37932.953
43,39115.843
44,39723.896
45,39744.108
46,39755.680
47,39767.525
48,39781.342
49,39793.827
50,39797.444
51,39802.515
52,39827.112
53,39839.335
54,39846.060
55,39851.638
56,39864.075
57,39879.380
58,39894.954
59,39904.252
60,39906.676
61,39917.233
62,39921.429
63,39924.525
64,39930.463
65,39935.736
66,39940.191
67,39947.191
68,39955.234
69,39968.086
70,39970.674
71,39991.096
72,40008.533
73,40018.842
74,40035.832
75,40055.714
76,40072.885
77,40084.132
78,40093.949
79,40102.049
80,40110.862
81,40130.031
82,40155.715
83,40208.876
84,40491.720
85,40526.216
86,40537.862
87,46105.787
88,49323.875
89,49452.637
90,49496.169
91,49890.567
92,50204.001
93,50263.556
94,50425.811
95,50461.803
96,50495.764
97,51107.644
98,51165.264
99,51234.483
100,51297.887
